CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
78066,NYSE:PD,42.01,2021-01-01
78128,NYSE:WTRG,47.48,2021-01-01
78150,NYSE:PHI,28.45,2021-01-01
78239,NYSE:PVH,105.5,2021-01-01
78460,NYSE:PNY,0,2021-01-01
78536,NASDAQ:DINE,0,2021-01-01
78749,Nasdaq:AGYS,40.19,2021-01-01
78778,NYSE:PJC,0,2021-01-01
78814,NYSE:PBI,6.93,2021-01-01
78890,NYSE:BCO,72.7,2021-01-01
79035,NYSE:POLY,0,2021-01-01
79282,NYSE:BRO,47.88,2021-01-01
79879,NYSE:PPG,150.83,2021-01-01
79958,NYSE:PCP,0,2021-01-01
80035,Nasdaq:PLPC,71.14,2021-01-01
80124,NASDAQ:PLFE,0,2021-01-01
80172,NYSE:NPK,95.45,2021-01-01
80257,,0,2021-01-01
80420,Nasdaq:POWL,32.78,2021-01-01
80424,NYSE:PG,138.85,2021-01-01
80661,NYSE:PGR,94.74,2021-01-01
81318,NYSE:YUMA,0,2021-01-01
81362,NYSE:KWR,273.94,2021-01-01
81955,Nasdaq:RAND,17,2021-01-01
82020,Nasdaq:USLM,124.45,2021-01-01
82166,NASDAQ:RAVN,0,2021-01-01
82267,NYSE:RTN,0,2021-01-01
82473,AMEX:IHT,0,2021-01-01
82811,NYSE:RRX,136.63,2021-01-01
83402,NASDAQ:REXI,0,2021-01-01
84246,NYSE:RLI,108.19,2021-01-01
84748,NYSE:ROG,176.59,2021-01-01
84792,NYSE:ROH,0,2021-01-01
84839,NYSE:ROL,40.17,2021-01-01
85408,NYSE:RDC,0,2021-01-01
85535,Nasdaq:RGLD,109.42,2021-01-01
85961,NYSE:R,66.97,2021-01-01
85974,NYSE:RYL,0,2021-01-01
86144,NYSE:SWY,0,2021-01-01
86312,NYSE:TRV,139.07,2021-01-01
87050,Nasdaq:NEON,8.5,2021-01-01
87347,NYSE:SLB,24.88,2021-01-01
87565,NASDAQ:SHLM,0,2021-01-01
88132,NYSE MKT:SEB,0,2021-01-01
88205,NYSE:SPXC,57.87,2021-01-01
88941,Nasdaq:SMTC,74.65,2021-01-01
88948,Nasdaq:SENEA,40.19,2021-01-01
89089,NYSE:SCI,51.07,2021-01-01
89140,AMEX:SVT,0,2021-01-01
89270,NYSE:SLI,0,2021-01-01
89439,NYSE:MLI,19.6,2021-01-01
89800,NYSE:SHW,245.04,2021-01-01
90168,AMEX:SIF,0,2021-01-01
90185,NASDAQ:SIAL,0,2021-01-01
