CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
87565,NASDAQ:SHLM,0,2021-04-01
88132,NYSE MKT:SEB,0,2021-04-01
88205,NYSE:SPXC,59.07,2021-04-01
88941,Nasdaq:SMTC,72.61,2021-04-01
88948,Nasdaq:SENEA,52.23,2021-04-01
89089,NYSE:SCI,48.9,2021-04-01
89140,AMEX:SVT,0,2021-04-01
89270,NYSE:SLI,0,2021-04-01
89439,NYSE:MLI,20.94,2021-04-01
89800,NYSE:SHW,240.08,2021-04-01
90168,AMEX:SIF,0,2021-04-01
90185,NASDAQ:SIAL,0,2021-04-01
90498,Nasdaq:SFNC,30.23,2021-04-01
90896,NYSE:SKY,44.78,2021-04-01
91142,NYSE:AOS,67.48,2021-04-01
91419,NYSE:SJM,127.25,2021-04-01
91440,NYSE:SNA,220.05,2021-04-01
91576,NYSE:KEY,19.92,2021-04-01
91767,NYSE:SON,63.09,2021-04-01
91847,NYSE:SOR,43.66,2021-04-01
91928,NYSE:SJIJ,0,2021-04-01
92103,,0,2021-04-01
92122,NYSE:SO,59.69,2021-04-01
92230,NYSE:TFC,57.47,2021-04-01
92380,NYSE:LUV,59.46,2021-04-01
92472,NASDAQ:SWWC,0,2021-04-01
92679,NYSE:SPA,0,2021-04-01
93284,NYSE:ICB,0,2021-04-01
93314,AMEX:VNRX,0,2021-04-01
93389,NYSE:SMP,43.12,2021-04-01
93410,NYSE:CVX,102.54,2021-04-01
93451,NYSE:STL,0,2021-04-01
93556,NYSE:SWK,195.79,2021-04-01
93676,NYSE:SCX,0,2021-04-01
93751,NYSE:STT,81.62,2021-04-01
93859,NYSE:BH,141.95,2021-04-01
94049,NYSE:SCL,127.2,2021-04-01
94344,NYSE:STC,51.66,2021-04-01
94845,NYSE:LEVI,24.82,2021-04-01
95029,NYSE:RGR,69.81,2021-04-01
95047,,0,2021-04-01
95052,NASDAQ:RDEN,0,2021-04-01
95521,NYSE:SVU,0,2021-04-01
95552,NYSE:SUP,6.24,2021-04-01
95574,Nasdaq:SGC,26.97,2021-04-01
95585,,0,2021-04-01
95953,Nasdaq:ACNT,9.2,2021-04-01
96021,NYSE:SYY,78.6,2021-04-01
96223,NYSE:JEF,32.4,2021-04-01
96289,NYSE:RSH,0,2021-04-01
96536,Nasdaq:TAYD,11.08,2021-04-01
96638,NASDAQ:ADVNQ,0,2021-04-01
96763,NYSE:PULS,0,2021-04-01
96793,AMEX:SSY,0,2021-04-01
